Species code,Ancestor code,Start date,End date,Species name
t30,n29,35.8,32.2,Pseudohastigerina micra
t31,n29,35.8,32,Pseudohastigerina naguewichiensis
t26,n25,48,39.3,Pseudohastigerina sharkriverensis
n28,n24,55.3,48.1,Pseudohastigerina wilcoxensis
n25,n28,48.1,48,Pseudohastigerina wilcoxensis
t27,n25,48,43.3,Pseudohastigerina wilcoxensis
t317,n315,4.25,0,Pulleniatina finalis
n662,n313,5.7,5.2,Pulleniatina obliquiloculata
t316,n662,5.2,0,Pulleniatina obliquiloculata
n313,n700,6.1,5.7,Pulleniatina praecursor
t701,n313,5.7,1.75,Pulleniatina praecursor
n663,n662,5.2,4.6,Pulleniatina praespectabilis
t664,n663,4.6,4.4,Pulleniatina praespectabilis
n700,n311,6.8,6.1,Pulleniatina primalis
t314,n700,6.1,1.3,Pulleniatina primalis
n315,n663,4.6,4.25,Pulleniatina spectabilis
t665,n315,4.25,4.2,Pulleniatina spectabilis
t576,n574,5.6,0,Sphaeroidinella dehiscens
n568,n567,18.1,16.4,Sphaeroidinellopsis disjuncta
n569,n568,16.4,12.1,Sphaeroidinellopsis disjuncta
t571,n570,14.4,3.6,Sphaeroidinellopsis kochi
n574,n572,7.1,5.6,Sphaeroidinellopsis paenedehiscens
t575,n574,5.6,2.3,Sphaeroidinellopsis paenedehiscens
n570,n568,16.4,14.4,Sphaeroidinellopsis seminulina
n572,n570,14.4,7.1,Sphaeroidinellopsis seminulina
t573,n572,7.1,2.3,Sphaeroidinellopsis seminulina
t492,n491,42.3,28.5,Subbotina angiporoides
n486,n485,61.2,59.2,Subbotina cancellata
n487,n486,59.2,57,Subbotina cancellata
t488,n487,57,56.8,Subbotina cancellata
t599,n597,47.25,32.1,Subbotina corpulenta
t611,n610,46.4,40,Subbotina crociapertura
n596,n595,50.7,48.1,Subbotina eocaena
n600,n596,48.1,43.8,Subbotina eocaena
n602,n600,43.8,34.1,Subbotina eocaena
t603,n602,34.1,32.2,Subbotina eocaena
t614,n612,39.1,27.2,Subbotina gortanii
n597,n596,48.1,47.25,Subbotina hagni
t598,n597,47.25,34.3,Subbotina hagni
n498,n496,55.6,55.4,Subbotina hornibrooki
t499,n498,55.4,52.5,Subbotina hornibrooki
t601,n600,43.8,33.7,Subbotina jacksonensis
n491,n489,52,42.3,Subbotina linaperta
n493,n491,42.3,35.4,Subbotina linaperta
t494,n493,35.4,33.7,Subbotina linaperta
n489,n487,57,52,Subbotina patagonica
t490,n489,52,45.15,Subbotina patagonica
n595,n594,55.6,50.7,Subbotina roesnaesensis
n607,n595,50.7,50.6,Subbotina roesnaesensis
n609,n607,50.6,50.4,Subbotina roesnaesensis
n615,n609,50.4,43.5,Subbotina roesnaesensis
t616,n615,43.5,43.2,Subbotina roesnaesensis
t608,n607,50.6,38,Subbotina senni
n604,n602,34.1,33.8,Subbotina sp1
t605,n604,33.8,32.6,Subbotina sp1
t606,n604,33.8,27.2,Subbotina sp2
n594,n592,61.1,55.6,Subbotina triangularis
t505,n594,55.6,55.55,Subbotina triangularis
t484,n483,64.3,59.3,Subbotina triloculinoides
n483,n477,64.92,64.3,Subbotina trivialis
n485,n483,64.3,61.2,Subbotina trivialis
n592,n485,61.2,61.1,Subbotina trivialis
t593,n592,61.1,61,Subbotina trivialis
t495,n493,35.4,30.3,Subbotina utilisindex
n496,n486,59.2,55.6,Subbotina velascoensis
t497,n496,55.6,54.45,Subbotina velascoensis
n610,n609,50.4,46.4,Subbotina yeguaensis
n612,n610,46.4,39.1,Subbotina yeguaensis
t613,n612,39.1,33.7,Subbotina yeguaensis
t131,n129,0.9,0,Truncorotalia cavernula
t111,n110,4.3,3.5,Truncorotalia crassaconica
n109,n108,5.7,5.5,Truncorotalia crassaformis
n110,n109,5.5,4.3,Truncorotalia crassaformis
n112,n110,4.3,3.5,Truncorotalia crassaformis
t114,n112,3.5,0,Truncorotalia crassaformis
t134,n132,5.55,0.9,Truncorotalia crassula
n126,n125,1.85,1.8,Truncorotalia excelsa
t127,n126,1.8,0,Truncorotalia excelsa
t120,n118,1.8,0.4,Truncorotalia hessi
n115,n109,5.5,4,Truncorotalia oceanica
t116,n115,4,0,Truncorotalia oceanica
t128,n126,1.8,0,Truncorotalia pachytheca
n117,n115,4,3.4,Truncorotalia ronda
n118,n117,3.4,1.8,Truncorotalia ronda
t119,n118,1.8,1,Truncorotalia ronda
n121,n117,3.4,3.2,Truncorotalia tenuitheca
t122,n121,3.2,1.3,Truncorotalia tenuitheca
n123,n121,3.2,1.9,Truncorotalia tosaensis
t124,n123,1.9,1.2,Truncorotalia tosaensis
n125,n123,1.9,1.85,Truncorotalia truncatulinoides
n129,n125,1.85,0.9,Truncorotalia truncatulinoides
t130,n129,0.9,0,Truncorotalia truncatulinoides
t113,n112,3.5,1.4,Truncorotalia viola
t46,n45,40.8,37.2,Turborotalia altispiroides
n50,n49,35,32.65,Turborotalia ampliapertura
t52,n50,32.65,30.3,Turborotalia ampliapertura
n40,n39,41.8,38.6,Turborotalia cerroazulensis
t41,n40,38.6,33.8,Turborotalia cerroazulensis
n42,n40,38.6,34.1,Turborotalia cocoaensis
t43,n42,34.1,33.8,Turborotalia cocoaensis
t44,n42,34.1,33.8,Turborotalia cunialensis
t51,n50,32.65,30.25,Turborotalia euapertura
n35,n33,48.7,43.95,Turborotalia frontosa
n37,n35,43.95,43.2,Turborotalia frontosa
t38,n37,43.2,40.8,Turborotalia frontosa
n49,n47,39.2,35,Turborotalia increbescens
t54,n49,35,30.3,Turborotalia increbescens
n39,n37,43.2,41.8,Turborotalia pomeroli
n45,n39,41.8,40.8,Turborotalia pomeroli
n47,n45,40.8,39.2,Turborotalia pomeroli
t48,n47,39.2,34.6,Turborotalia pomeroli
t36,n35,43.95,40.8,Turborotalia possagnoensis
n501,n500,44.4,36,Turborotalita carcoselleensis
t502,n501,36,35.9,Turborotalita carcoselleensis
t512,n510,1.6,0,Turborotalita clarkei
n510,n508,4.5,1.6,Turborotalita cristata
t511,n510,1.6,0,Turborotalita cristata
n508,n506,6,4.5,Turborotalita humilis
t509,n508,4.5,0,Turborotalita humilis
n503,n501,36,25.4,Turborotalita praequinqueloba
t504,n503,25.4,22.4,Turborotalita praequinqueloba
n506,n503,25.4,6,Turborotalita quinqueloba
t507,n506,6,0,Turborotalita quinqueloba
